City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,serafimovich,49.5786,42.736,8.98,30,9,10.28,RU,1697555556
343,trapani,37.8333,12.6667,27.16,73,20,3.09,IT,1697555557
344,porto novo,6.4965,2.6036,24.9,87,100,1.17,BJ,1697555161
345,babana,10.4295,3.815,34.27,37,89,3.5,NG,1697555557
346,bodaybo,57.8506,114.1933,0.82,91,80,0.89,RU,1697555198
347,bukoba,-1.3317,31.8122,24.48,62,17,2.95,TZ,1697555558
348,al khums,32.6486,14.2619,28.25,43,0,3.96,LY,1697555558
349,marabba,12.35,32.1833,33.08,40,89,5.43,SD,1697555412
350,pimenta bueno,-11.6725,-61.1936,37.71,30,81,1.76,BR,1697555558
351,qashyr,53.0675,76.1036,12.03,63,29,1.68,KZ,1697555559
352,plastun,44.7561,136.2939,6.72,63,3,4.02,RU,1697555559
353,esil,51.9556,66.4042,13.15,66,10,4.32,KZ,1697555559
354,bonanza,14.0289,-84.591,27.11,74,94,1.71,NI,1697555559
355,chimichagua,9.2578,-73.8123,31.51,60,57,0.46,CO,1697555560
356,mitu,1.1983,-70.1733,32.41,51,16,0.93,CO,1697555560
357,moyale,3.5167,39.0584,24.06,67,93,2.4,KE,1697555560
358,wenling,28.3669,121.36,18.16,80,1,1.56,CN,1697555406
359,rio claro,-22.4114,-47.5614,33.21,37,100,3.28,BR,1697554857
360,san luis de la loma,17.2706,-100.8939,26.84,79,100,0.38,MX,1697555112
361,mount isa,-20.7333,139.5,24.87,18,2,6.17,AU,1697555169
362,quthing,-30.4,27.7003,19.17,39,46,0.87,LS,1697555561
363,kangding,30.0513,101.9603,11.37,93,92,2.87,CN,1697555561
364,formosa,-26.1775,-58.1781,28.99,61,0,7.72,AR,1697554968
